fecha,mes,anio,linea,tipo_pago,afluencia
2021-01-27,Enero,2021,Linea 2,Gratuidad,6609.0
2021-01-27,Enero,2021,Linea 3,Prepago,104392.0
2021-01-27,Enero,2021,Linea 3,Gratuidad,5723.0
2021-01-27,Enero,2021,Linea 4,Prepago,43340.0
2021-01-27,Enero,2021,Linea 4,Gratuidad,1622.0
2021-01-27,Enero,2021,Linea 5,Prepago,94928.0
2021-01-27,Enero,2021,Linea 5,Gratuidad,9965.0
2021-01-27,Enero,2021,Linea 6,Prepago,91862.0
2021-01-27,Enero,2021,Linea 6,Gratuidad,7482.0
2021-01-27,Enero,2021,Linea 7,Prepago,89816.0
2021-01-27,Enero,2021,Linea 7,Gratuidad,1057.0
2021-01-28,Enero,2021,Linea 1,Prepago,278339.0
2021-01-28,Enero,2021,Linea 1,Gratuidad,12726.0
2021-01-28,Enero,2021,Linea 2,Prepago,100646.0
2021-01-28,Enero,2021,Linea 2,Gratuidad,6458.0
2021-01-28,Enero,2021,Linea 3,Prepago,103387.0
2021-01-28,Enero,2021,Linea 3,Gratuidad,5507.0
2021-01-28,Enero,2021,Linea 4,Prepago,40546.0
2021-01-28,Enero,2021,Linea 4,Gratuidad,1813.0
2021-01-28,Enero,2021,Linea 5,Prepago,93698.0
2021-01-28,Enero,2021,Linea 5,Gratuidad,9755.0
2021-01-28,Enero,2021,Linea 6,Prepago,92110.0
2021-01-28,Enero,2021,Linea 6,Gratuidad,7456.0
2021-01-28,Enero,2021,Linea 7,Prepago,88255.0
2021-01-28,Enero,2021,Linea 7,Gratuidad,1245.0
2021-01-29,Enero,2021,Linea 1,Prepago,293664.0
2021-01-29,Enero,2021,Linea 1,Gratuidad,12972.0
2021-01-29,Enero,2021,Linea 2,Prepago,99823.0
2021-01-29,Enero,2021,Linea 2,Gratuidad,6850.0
2021-01-29,Enero,2021,Linea 3,Prepago,108825.0
2021-01-29,Enero,2021,Linea 3,Gratuidad,5843.0
2021-01-29,Enero,2021,Linea 4,Prepago,49049.0
2021-01-29,Enero,2021,Linea 4,Gratuidad,1886.0
2021-01-29,Enero,2021,Linea 5,Prepago,94433.0
2021-01-29,Enero,2021,Linea 5,Gratuidad,10055.0
2021-01-29,Enero,2021,Linea 6,Prepago,94117.0
2021-01-29,Enero,2021,Linea 6,Gratuidad,7827.0
2021-01-29,Enero,2021,Linea 7,Prepago,88622.0
2021-01-29,Enero,2021,Linea 7,Gratuidad,1176.0
2021-01-30,Enero,2021,Linea 1,Prepago,203333.0
2021-01-30,Enero,2021,Linea 1,Gratuidad,10060.0
2021-01-30,Enero,2021,Linea 2,Prepago,75473.0
2021-01-30,Enero,2021,Linea 2,Gratuidad,5336.0
2021-01-30,Enero,2021,Linea 3,Prepago,84481.0
2021-01-30,Enero,2021,Linea 3,Gratuidad,4485.0
2021-01-30,Enero,2021,Linea 4,Prepago,47809.0
2021-01-30,Enero,2021,Linea 4,Gratuidad,1797.0
2021-01-30,Enero,2021,Linea 5,Prepago,79516.0
2021-01-30,Enero,2021,Linea 5,Gratuidad,8351.0
2021-01-30,Enero,2021,Linea 6,Prepago,75445.0
2021-01-30,Enero,2021,Linea 6,Gratuidad,5783.0
2021-01-30,Enero,2021,Linea 7,Prepago,68307.0
2021-01-30,Enero,2021,Linea 7,Gratuidad,936.0
2021-01-31,Enero,2021,Linea 1,Prepago,122449.0
2021-01-31,Enero,2021,Linea 1,Gratuidad,7483.0
2021-01-31,Enero,2021,Linea 2,Prepago,46897.0
2021-01-31,Enero,2021,Linea 2,Gratuidad,3905.0
2021-01-31,Enero,2021,Linea 3,Prepago,48793.0
2021-01-31,Enero,2021,Linea 3,Gratuidad,3305.0
2021-01-31,Enero,2021,Linea 4,Prepago,20665.0
2021-01-31,Enero,2021,Linea 4,Gratuidad,1349.0
2021-01-31,Enero,2021,Linea 5,Prepago,54723.0
2021-01-31,Enero,2021,Linea 5,Gratuidad,6642.0
2021-01-31,Enero,2021,Linea 6,Prepago,42700.0
2021-01-31,Enero,2021,Linea 6,Gratuidad,4248.0
2021-01-31,Enero,2021,Linea 7,Prepago,42027.0
2021-01-31,Enero,2021,Linea 7,Gratuidad,632.0
2021-02-01,Febrero,2021,Linea 1,Prepago,126432.0
2021-02-01,Febrero,2021,Linea 1,Gratuidad,7352.0
2021-02-01,Febrero,2021,Linea 2,Prepago,59277.0
2021-02-01,Febrero,2021,Linea 2,Gratuidad,4750.0
2021-02-01,Febrero,2021,Linea 3,Prepago,52947.0
2021-02-01,Febrero,2021,Linea 3,Gratuidad,3048.0
2021-02-01,Febrero,2021,Linea 4,Prepago,34320.0
2021-02-01,Febrero,2021,Linea 4,Gratuidad,1489.0
2021-02-01,Febrero,2021,Linea 5,Prepago,69363.0
2021-02-01,Febrero,2021,Linea 5,Gratuidad,7656.0
2021-02-01,Febrero,2021,Linea 6,Prepago,58694.0
